17961_locus	17978_locus	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore
I5593_00570	ACX60_17665	40.945	254	135	6	820	1067	675	919	1.62e-45	174
I5593_00580	ACX60_13105	36.893	103	64	1	298	399	966	1068	4.47e-10	59.7
I5593_00580	ACX60_13105	35.417	96	58	1	308	399	786	881	4.75e-10	59.3
I5593_00580	ACX60_13105	31.356	118	56	1	309	401	904	1021	2.26e-08	53.9
I5593_00580	ACX60_13105	30.275	109	59	1	308	399	838	946	3.18e-06	47.0
I5593_00580	ACX60_13105	28.440	109	61	2	309	401	578	685	6.23e-06	46.2
I5593_00585	ACX60_00615	83.817	241	39	0	1	241	1	241	1.55e-145	403
I5593_00590	ACX60_00640	99.553	447	2	0	1	447	1	447	0.0	925
I5593_00595	ACX60_00645	98.964	193	2	0	1	193	1	193	2.88e-142	391
I5593_00600	ACX60_00650	100.000	627	0	0	1	627	1	627	0.0	1293
I5593_00605	ACX60_14280	28.846	260	155	7	8	260	6	242	2.75e-23	92.0
I5593_00610	ACX60_00655	95.210	167	8	0	1	167	1	167	7.65e-121	335
I5593_00615	ACX60_00660	99.107	336	3	0	1	336	1	336	0.0	698
I5593_00620	ACX60_00665	99.740	385	1	0	1	385	1	385	0.0	796
I5593_00625	ACX60_00670	97.925	241	5	0	1	241	1	241	0.0	493
I5593_00630	ACX60_00675	99.121	455	4	0	1	455	1	455	0.0	890
I5593_00635	ACX60_00680	98.131	107	2	0	1	107	1	107	4.56e-77	219
I5593_00640	ACX60_00685	99.401	167	1	0	1	167	1	167	5.82e-121	335
I5593_00645	ACX60_00690	99.377	321	2	0	1	321	1	321	0.0	673
I5593_00650	ACX60_00695	100.000	116	0	0	1	116	1	116	1.75e-84	238
I5593_00655	ACX60_00700	100.000	181	0	0	1	181	1	181	1.51e-132	365
I5593_00660	ACX60_00705	99.608	255	1	0	1	255	1	255	0.0	518
I5593_00665	ACX60_00710	98.179	604	11	0	1	604	1	604	0.0	1208
I5593_00670	ACX60_00715	98.992	397	4	0	1	397	1	397	0.0	810
I5593_00675	ACX60_00720	99.670	303	1	0	1	303	1	303	0.0	625
I5593_00680	ACX60_00725	100.000	145	0	0	1	145	1	145	6.52e-105	292
I5593_00685	ACX60_00730	99.138	116	1	0	1	116	1	116	5.79e-84	237
I5593_00690	ACX60_00735	100.000	274	0	0	1	274	1	274	0.0	569
I5593_00695	ACX60_00740	99.074	216	2	0	1	216	1	216	5.52e-160	437
I5593_00700	ACX60_00750	98.192	719	13	0	1	719	11	729	0.0	1459
I5593_00705	ACX60_00755	98.571	70	1	0	1	70	1	70	1.68e-50	149
I5593_00710	ACX60_00760	99.682	314	1	0	1	314	1	314	0.0	642
I5593_00715	ACX60_00765	98.904	365	4	0	1	365	1	365	0.0	744
I5593_00720	ACX60_00770	100.000	482	0	0	1	482	1	482	0.0	988
I5593_00725	ACX60_00775	100.000	308	0	0	1	308	1	308	0.0	632
I5593_00730	ACX60_00780	99.648	284	1	0	1	284	1	284	0.0	581
I5593_00735	ACX60_00785	100.000	420	0	0	1	420	1	420	0.0	866
I5593_00740	ACX60_00790	100.000	391	0	0	1	391	1	391	0.0	795
I5593_00745	ACX60_00795	99.333	300	2	0	1	300	1	300	0.0	607
I5593_00750	ACX60_00800	100.000	146	0	0	1	146	1	146	6.79e-106	295
I5593_00755	ACX60_00805	100.000	230	0	0	1	230	1	230	3.02e-175	477
I5593_00760	ACX60_00810	100.000	905	0	0	1	905	1	905	0.0	1882
I5593_00765	ACX60_00815	98.489	662	7	2	1	659	1	662	0.0	1266
I5593_00770	ACX60_00820	98.889	90	1	0	1	90	1	90	4.37e-59	172
I5593_00775	ACX60_00825	99.476	191	1	0	1	191	1	191	1.03e-135	374
I5593_00780	ACX60_00830	99.164	718	6	0	1	718	1	718	0.0	1466
I5593_00785	ACX60_00835	99.623	265	1	0	1	265	1	265	0.0	554
I5593_00790	ACX60_00840	100.000	121	0	0	1	121	1	121	5.32e-90	253
I5593_00795	ACX60_00845	100.000	488	0	0	1	488	1	488	0.0	986
I5593_00800	ACX60_00850	99.775	445	1	0	1	445	1	445	0.0	907
I5593_00805	ACX60_00855	100.000	218	0	0	1	218	1	218	1.52e-165	452
I5593_00810	ACX60_00860	99.469	565	3	0	1	565	1	565	0.0	1154
I5593_00815	ACX60_00865	99.608	255	1	0	1	255	1	255	0.0	506
I5593_00820	ACX60_00870	100.000	310	0	0	55	364	1	310	0.0	640
I5593_00825	ACX60_00875	100.000	100	0	0	1	100	1	100	6.79e-73	208
I5593_00830	ACX60_00880	100.000	352	0	0	1	352	1	352	0.0	719
I5593_00835	ACX60_00885	99.302	430	3	0	1	430	1	430	0.0	882
I5593_00840	ACX60_00890	96.596	235	8	0	1	235	1	235	4.20e-170	464
I5593_00845	ACX60_00895	99.693	326	1	0	1	326	1	326	0.0	663
I5593_00850	ACX60_00900	99.476	191	1	0	1	191	1	191	9.63e-137	377
I5593_00855	ACX60_00905	99.846	649	1	0	1	649	1	649	0.0	1342
I5593_00860	ACX60_00910	98.333	180	3	0	1	180	1	180	6.64e-133	366
I5593_00865	ACX60_00915	98.540	137	2	0	1	137	1	137	5.49e-100	279
I5593_00870	ACX60_00920	99.189	370	3	0	1	370	1	370	0.0	756
I5593_00875	ACX60_00925	100.000	245	0	0	1	245	1	245	0.0	494
I5593_00880	ACX60_00930	100.000	216	0	0	1	216	1	216	2.77e-159	436
I5593_00885	ACX60_00935	99.216	255	2	0	1	255	1	255	0.0	523
I5593_00890	ACX60_00940	100.000	1165	0	0	1	1165	1	1165	0.0	2389
I5593_00895	ACX60_00945	100.000	110	0	0	1	110	1	110	8.87e-79	224
I5593_00900	ACX60_00950	99.650	571	2	0	1	571	1	571	0.0	1134
I5593_00905	ACX60_00955	99.558	226	1	0	1	226	5	230	9.83e-166	453
I5593_00910	ACX60_00960	100.000	655	0	0	1	655	1	655	0.0	1326
I5593_00915	ACX60_00965	98.997	299	3	0	1	299	1	299	0.0	595
I5593_00920	ACX60_00970	99.648	568	2	0	1	568	1	568	0.0	1155
I5593_00930	ACX60_00975	99.894	943	1	0	1	943	1	943	0.0	1941
I5593_00935	ACX60_00980	99.500	200	1	0	1	200	1	200	7.90e-149	408
I5593_00940	ACX60_00985	99.077	325	3	0	1	325	1	325	0.0	653
I5593_00945	ACX60_00990	98.291	117	2	0	1	117	1	117	1.29e-79	226
I5593_00950	ACX60_00995	97.345	113	3	0	1	113	1	113	1.59e-75	216
I5593_00955	ACX60_01000	100.000	224	0	0	1	224	1	224	3.10e-171	466
I5593_00960	ACX60_01005	99.444	360	2	0	1	360	1	360	0.0	714
I5593_00965	ACX60_01010	99.780	454	1	0	1	454	1	454	0.0	892
I5593_00970	ACX60_01015	100.000	193	0	0	1	193	1	193	1.53e-141	389
I5593_00975	ACX60_01020	100.000	107	0	0	1	107	1	107	7.02e-72	206
I5593_00980	ACX60_01025	97.835	231	5	0	1	231	1	231	4.51e-165	452
I5593_00985	ACX60_01030	99.451	182	1	0	1	182	1	182	7.99e-133	366
I5593_00990	ACX60_01035	100.000	480	0	0	1	480	1	480	0.0	970
I5593_00995	ACX60_01040	99.599	499	2	0	1	499	1	499	0.0	1022
I5593_01000	ACX60_01045	98.605	430	6	0	1	430	1	430	0.0	874
I5593_01005	ACX60_01050	99.378	482	3	0	1	482	1	482	0.0	984
I5593_01010	ACX60_01055	99.691	324	1	0	1	324	1	324	0.0	668
I5593_01015	ACX60_01060	100.000	208	0	0	1	208	1	208	2.71e-158	432
I5593_01020	ACX60_01065	98.966	290	3	0	1	290	1	290	0.0	593
I5593_01025	ACX60_01070	99.769	432	1	0	1	432	1	432	0.0	894
I5593_01030	ACX60_01075	93.818	275	17	0	1	275	1	275	0.0	541
I5593_01035	ACX60_01080	97.857	140	3	0	1	140	1	140	9.17e-104	289
I5593_01045	ACX60_01095	99.034	414	4	0	1	414	1	414	0.0	807
I5593_01050	ACX60_01100	98.366	306	5	0	1	306	1	306	0.0	609
I5593_01055	ACX60_01105	95.254	295	14	0	1	295	1	295	0.0	549
I5593_01060	ACX60_01110	97.571	247	6	0	1	247	1	247	0.0	505
I5593_01065	ACX60_01115	98.462	130	2	0	1	130	1	130	1.74e-95	267
I5593_01070	ACX60_12315	28.933	356	205	10	1	318	1	346	6.32e-34	124
I5593_01080	ACX60_01130	94.361	266	15	0	1	266	1	266	0.0	518
I5593_01085	ACX60_01135	97.814	183	4	0	1	183	1	183	2.75e-134	370
I5593_01095	ACX60_01175	100.000	111	0	0	1	111	1	111	1.20e-80	228
I5593_01100	ACX60_01180	98.919	185	2	0	1	185	1	185	1.54e-137	378
I5593_01120	ACX60_01215	99.200	625	5	0	1	625	1	625	0.0	1255
I5593_01125	ACX60_01220	98.639	147	2	0	1	147	1	147	3.14e-95	268
I5593_01130	ACX60_01225	99.721	359	1	0	1	359	1	359	0.0	746
I5593_01135	ACX60_01230	98.974	195	2	0	1	195	5	199	1.05e-138	382
I5593_01140	ACX60_01235	98.750	80	1	0	1	80	1	80	1.24e-54	160
I5593_01145	ACX60_01240	99.563	229	1	0	1	229	1	229	5.97e-160	439
I5593_01150	ACX60_01245	98.802	334	4	0	1	334	1	334	0.0	673
I5593_01155	ACX60_01250	100.000	212	0	0	1	212	1	212	5.26e-162	442
I5593_01160	ACX60_01255	100.000	252	0	0	1	252	1	252	0.0	515
I5593_01165	ACX60_01260	99.683	315	1	0	1	315	1	315	0.0	655
I5593_01170	ACX60_01265	99.522	209	1	0	1	209	1	209	1.91e-157	431
I5593_01175	ACX60_01270	100.000	130	0	0	1	130	1	130	3.85e-92	259
I5593_01180	ACX60_01280	98.667	300	4	0	1	300	1	300	0.0	577
I5593_01185	ACX60_01285	98.907	183	2	0	1	183	1	183	3.23e-130	359
I5593_01190	ACX60_01290	100.000	243	0	0	1	243	1	243	0.0	494
I5593_01195	ACX60_01295	97.183	213	6	0	1	213	1	213	2.03e-154	423
I5593_01200	ACX60_01300	99.451	182	1	0	1	182	1	182	2.91e-133	367
I5593_01205	ACX60_01305	100.000	205	0	0	1	205	1	205	3.80e-158	432
I5593_01210	ACX60_01310	100.000	197	0	0	1	197	1	197	1.48e-147	404
I5593_01215	ACX60_01315	99.213	127	1	0	1	127	1	127	6.92e-94	263
I5593_01230	ACX60_01330	99.301	143	1	0	1	143	1	143	5.13e-106	295
I5593_01235	ACX60_01335	99.603	504	2	0	1	504	1	504	0.0	1033
I5593_01245	ACX60_01340	99.794	485	1	0	1	485	1	485	0.0	987
I5593_01250	ACX60_01345	100.000	254	0	0	1	254	1	254	0.0	510
I5593_01255	ACX60_01350	99.616	782	3	0	1	782	1	782	0.0	1581
I5593_01260	ACX60_01355	99.726	729	2	0	1	729	1	729	0.0	1467
I5593_01265	ACX60_01360	99.662	296	1	0	1	296	1	296	0.0	611
I5593_01270	ACX60_01380	99.294	425	3	0	1	425	1	425	0.0	868
I5593_01275	ACX60_01385	100.000	553	0	0	1	553	1	553	0.0	1134
I5593_01280	ACX60_01390	98.246	114	2	0	1	114	13	126	2.74e-82	233
I5593_01285	ACX60_01395	98.696	230	3	0	1	230	1	230	3.63e-171	467
I5593_01290	ACX60_01400	100.000	125	0	0	8	132	1	125	1.32e-89	253
I5593_01310	ACX60_01400	66.400	125	40	2	1	123	1	125	4.44e-57	170
I5593_01315	ACX60_01405	47.890	474	233	5	2	467	3	470	3.33e-138	402
I5593_01320	ACX60_01410	60.000	405	159	3	1	402	1	405	1.16e-162	459
I5593_01325	ACX60_01415	81.464	1052	195	0	1	1052	1	1052	0.0	1788
I5593_01330	ACX60_01420	100.000	318	0	0	1	318	1	318	0.0	642
I5593_01335	ACX60_01425	100.000	112	0	0	1	112	1	112	4.25e-81	229
I5593_01340	ACX60_01430	99.683	315	1	0	1	315	1	315	0.0	644
I5593_01355	ACX60_01445	99.650	286	1	0	9	294	1	286	0.0	585
I5593_01360	ACX60_01450	99.576	472	2	0	1	472	1	472	0.0	946
I5593_01375	ACX60_01465	99.801	502	1	0	1	502	1	502	0.0	1045
I5593_01380	ACX60_01470	98.990	99	1	0	1	99	1	99	1.63e-68	197
I5593_01385	ACX60_01475	100.000	321	0	0	1	321	13	333	0.0	658
I5593_01390	ACX60_01480	99.674	307	1	0	1	307	1	307	0.0	624
I5593_01395	ACX60_01485	100.000	110	0	0	1	110	1	110	5.05e-80	227
I5593_01400	ACX60_01490	100.000	610	0	0	1	610	1	610	0.0	1251
I5593_01405	ACX60_01495	99.399	499	3	0	1	499	1	499	0.0	1030
I5593_01410	ACX60_01500	98.712	466	6	0	1	466	1	466	0.0	949
I5593_01415	ACX60_01505	100.000	372	0	0	1	372	1	372	0.0	746
I5593_01420	ACX60_01510	98.182	110	2	0	1	110	1	110	1.34e-76	218
I5593_01425	ACX60_01515	98.881	268	3	0	7	274	1	268	0.0	554
I5593_01430	ACX60_01520	99.765	851	2	0	1	851	1	851	0.0	1751
I5593_01435	ACX60_01525	99.716	352	1	0	1	352	1	352	0.0	717
I5593_01440	ACX60_01530	100.000	213	0	0	1	213	1	213	7.64e-162	442
I5593_01445	ACX60_01535	99.187	246	2	0	1	246	1	246	0.0	501
I5593_01450	ACX60_01540	98.857	175	2	0	1	175	1	175	2.32e-128	354
I5593_01455	ACX60_01545	99.584	721	3	0	1	721	1	721	0.0	1454
I5593_01460	ACX60_01550	100.000	189	0	0	1	189	1	189	7.30e-139	382
I5593_01465	ACX60_01555	99.444	360	2	0	1	360	1	360	0.0	736
I5593_01470	ACX60_01560	98.625	291	4	0	1	291	1	291	0.0	590
I5593_01475	ACX60_01565	99.933	1491	1	0	1	1491	3	1493	0.0	3085
I5593_01480	ACX60_01570	99.577	473	2	0	1	473	1	473	0.0	974
I5593_01485	ACX60_01575	98.983	295	3	0	1	295	1	295	0.0	611
I5593_01490	ACX60_01580	100.000	196	0	0	1	196	1	196	6.10e-146	400
I5593_01495	ACX60_01585	99.167	360	2	1	1	359	1	360	0.0	700
I5593_01500	ACX60_01590	99.462	186	1	0	1	186	1	186	8.79e-140	384
I5593_01505	ACX60_01595	48.701	154	63	6	1	141	1	151	8.06e-29	100
I5593_01515	ACX60_01600	91.882	542	44	0	1	542	1	542	0.0	1023
I5593_01520	ACX60_01605	98.701	154	2	0	1	154	1	154	4.67e-112	311
I5593_01525	ACX60_01610	100.000	64	0	0	1	64	1	64	1.60e-41	126
I5593_01530	ACX60_01615	100.000	127	0	0	1	127	1	127	9.56e-92	258
I5593_01535	ACX60_01620	100.000	701	0	0	1	701	1	701	0.0	1455
I5593_01545	ACX60_01625	100.000	92	0	0	1	92	1	92	3.08e-66	191
I5593_01550	ACX60_01630	100.000	209	0	0	1	209	1	209	2.32e-158	433
I5593_01555	ACX60_01635	100.000	316	0	0	1	316	1	316	0.0	650
I5593_01560	ACX60_01640	98.726	157	2	0	1	157	1	157	1.46e-110	308
I5593_01565	ACX60_01645	99.457	184	1	0	3	186	1	184	3.46e-137	377
I5593_01570	ACX60_01650	99.700	333	1	0	1	333	1	333	0.0	674
I5593_01575	ACX60_01655	99.265	272	2	0	1	272	1	272	0.0	548
I5593_01580	ACX60_01660	99.688	1284	4	0	1	1284	1	1284	0.0	2624
I5593_01585	ACX60_01665	95.000	160	8	0	1	160	1	160	1.71e-104	293
I5593_01590	ACX60_01670	90.780	141	13	0	1	141	1	141	8.67e-85	241
I5593_01595	ACX60_01675	100.000	83	0	0	1	83	1	83	1.12e-57	168
I5593_01600	ACX60_01680	100.000	182	0	0	1	182	1	182	7.79e-135	371
I5593_01605	ACX60_01685	99.187	246	2	0	1	246	1	246	0.0	509
I5593_01610	ACX60_01690	100.000	122	0	0	1	122	1	122	2.36e-86	244
I5593_01615	ACX60_01695	98.722	313	4	0	1	313	12	324	0.0	644
I5593_01620	ACX60_01700	100.000	344	0	0	1	344	1	344	0.0	705
I5593_01625	ACX60_01705	99.336	301	2	0	1	301	1	301	0.0	610
I5593_01630	ACX60_01710	100.000	256	0	0	3	258	1	256	0.0	501
I5593_01635	ACX60_01715	100.000	147	0	0	1	147	1	147	5.74e-107	298
I5593_01640	ACX60_01720	99.650	286	1	0	1	286	1	286	0.0	566
I5593_01645	ACX60_01725	99.659	293	1	0	1	293	1	293	0.0	580
I5593_01650	ACX60_01730	100.000	410	0	0	1	410	1	410	0.0	842
I5593_01655	ACX60_01735	99.787	469	1	0	1	469	1	469	0.0	966
I5593_01660	ACX60_01740	99.180	122	1	0	1	122	1	122	3.63e-89	251
I5593_01665	ACX60_01745	99.038	104	1	0	1	104	1	104	5.00e-75	214
I5593_01670	ACX60_01750	98.974	195	2	0	1	195	1	195	1.40e-146	402
I5593_01675	ACX60_01755	99.174	121	1	0	1	121	1	121	3.44e-85	241
I5593_01680	ACX60_01760	99.756	409	1	0	1	409	1	409	0.0	811
I5593_01685	ACX60_01765	99.162	716	6	0	1	716	1	716	0.0	1440
I5593_01690	ACX60_01770	100.000	191	0	0	1	191	1	191	3.21e-138	380
I5593_01695	ACX60_01775	99.731	372	1	0	1	372	1	372	0.0	745
I5593_01700	ACX60_01780	100.000	214	0	0	1	214	1	214	1.14e-159	436
I5593_01705	ACX60_01785	100.000	155	0	0	1	155	1	155	2.30e-113	315
I5593_01710	ACX60_01790	100.000	187	0	0	1	187	1	187	2.22e-141	388
I5593_01715	ACX60_01795	96.610	177	6	0	1	177	1	177	1.65e-126	350
I5593_01720	ACX60_01800	98.485	264	4	0	1	264	1	264	0.0	543
I5593_01725	ACX60_01805	97.412	425	11	0	1	425	1	425	0.0	849
I5593_01730	ACX60_01810	100.000	477	0	0	1	477	1	477	0.0	959
I5593_01735	ACX60_01815	100.000	423	0	0	1	423	1	423	0.0	871
I5593_01740	ACX60_01820	99.505	404	2	0	1	404	1	404	0.0	823
I5593_01745	ACX60_01825	100.000	343	0	0	1	343	1	343	0.0	715
I5593_01750	ACX60_01830	100.000	489	0	0	1	489	1	489	0.0	1006
I5593_01755	ACX60_01835	99.553	447	2	0	1	447	1	447	0.0	927
I5593_01760	ACX60_01840	100.000	324	0	0	1	324	1	324	0.0	674
I5593_01765	ACX60_01845	99.209	253	2	0	1	253	1	253	2.64e-174	477
I5593_01770	ACX60_01850	100.000	102	0	0	1	102	2	103	2.15e-70	202
I5593_01775	ACX60_01855	100.000	451	0	0	1	451	1	451	0.0	912
I5593_01780	ACX60_01860	99.301	143	1	0	1	143	1	143	4.41e-105	293
I5593_01785	ACX60_01865	100.000	139	0	0	1	139	1	139	3.23e-100	280
I5593_01790	ACX60_01870	99.653	288	1	0	1	288	1	288	0.0	596
I5593_01795	ACX60_01875	94.613	297	16	0	1	297	1	297	0.0	565
I5593_01800	ACX60_01885	95.652	69	3	0	26	94	1	69	1.79e-46	140
I5593_01820	ACX60_01895	99.129	689	6	0	1	689	1	689	0.0	1379
I5593_01825	ACX60_01900	100.000	325	0	0	1	325	1	325	0.0	677
I5593_01835	ACX60_01910	99.286	420	3	0	1	420	1	420	0.0	867
I5593_01840	ACX60_01915	96.981	265	8	0	1	265	1	265	0.0	534
I5593_01845	ACX60_01920	100.000	366	0	0	1	366	1	366	0.0	755
I5593_01850	ACX60_01925	100.000	84	0	0	1	84	1	84	1.96e-58	170
I5593_01855	ACX60_01930	99.535	215	1	0	1	215	1	215	9.67e-165	449
